,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,number_of_reviews,latitude,longitude,room_type,maximum_nights,availability_30,bedrooms,beds,price,minimum_nights,availability_60,availability_90,availability_365,instant_bookable,host_days_on_Airbnb,Borough
0,f,t,t,3,27,34.10632,-118.22361,Private room,30,2,1.0,2.0,60.0,30,24,54,329,f,4374.0,City of Los Angeles
1,t,t,t,4,154,34.09574,-118.27788,Entire home/apt,180,1,1.0,2.0,135.0,30,11,11,131,f,2440.0,City of Los Angeles
2,t,t,t,1,314,33.9875,-118.432,Private room,1125,0,1.0,1.0,50.0,30,0,0,30,f,4901.0,City of Los Angeles
4,f,t,t,6,2,33.98301,-118.38607,Entire home/apt,730,0,2.0,3.0,115.0,30,0,0,43,f,5152.0,Other Cities
5,f,t,t,2,204,33.91942,-118.20913,Private room,25,26,1.0,1.0,75.0,1,56,86,175,f,4380.0,Other Cities
6,t,t,t,1,37,34.09625,-118.34605,Private room,550,0,1.0,1.0,93.0,30,0,0,230,t,5071.0,City of Los Angeles
7,f,t,t,3,25,34.16887,-118.64478,Entire home/apt,30,0,1.0,1.0,89.0,30,0,0,0,t,4878.0,City of Los Angeles
8,f,t,t,2,263,34.08574,-118.28536,Entire home/apt,365,30,1.0,1.0,150.0,30,60,90,365,f,4571.0,City of Los Angeles
9,t,t,t,4,269,34.11364,-118.26068,Entire home/apt,1125,0,1.0,2.0,100.0,31,0,0,157,f,4795.0,City of Los Angeles
10,t,t,t,1,23,34.0044,-118.48095,Private room,27,17,1.0,1.0,179.0,7,24,54,329,f,5070.0,Other Cities
11,t,t,t,6,163,34.01269,-118.40788,Entire home/apt,30,0,3.0,3.0,300.0,5,1,1,157,f,4365.0,Other Cities
12,f,t,t,2,0,33.8749,-118.11515,Entire home/apt,730,0,1.0,1.0,50.0,30,0,0,0,f,5062.0,Other Cities
13,f,t,t,2,236,34.06881,-118.38158,Private room,1125,12,1.0,1.0,150.0,30,37,42,317,f,4794.0,Other Cities
14,f,t,t,2,458,34.11536,-118.33211,Entire home/apt,120,0,1.0,1.0,135.0,30,0,19,294,f,4364.0,City of Los Angeles
15,f,t,t,2,23,34.1116,-118.38223,Entire home/apt,730,24,1.0,2.0,118.0,31,54,84,359,f,5055.0,City of Los Angeles
16,t,t,t,4,166,34.0309,-118.75528,Private room,365,30,1.0,1.0,450.0,2,60,86,361,f,4360.0,Other Cities
17,t,t,t,4,720,33.98522,-118.3616,Entire home/apt,14,6,,3.0,144.0,3,26,47,134,f,4182.0,Unincorporated Areas
18,f,t,t,2,393,33.77202,-118.18852,Private room,1125,0,1.0,1.0,80.0,31,0,0,0,t,4755.0,Other Cities
